datetime,open,high,low,close,volume
2023-11-21,375.67001,376.2215,371.12,373.07001,28423100
2023-11-20,371.22,378.87,371.0,377.44,52465100
2023-11-17,373.60999,376.17001,367.0,369.85001,40157000
2023-11-16,370.95999,376.35001,370.17999,376.17001,27182300
2023-11-15,371.28,373.13,367.10999,369.67001,26860100
2023-11-14,371.01001,371.95001,367.3454,370.26999,27683900
2023-11-13,368.22,368.47,365.89999,366.67999,19986500
2023-11-10,361.48999,370.10001,361.07001,369.67001,28042100
2023-11-09,362.29999,364.79001,360.35999,360.69,24847300
2023-11-08,361.67999,363.87,360.54999,363.20001,26767800
2023-11-07,359.39999,362.45999,357.63,360.53,25833900
2023-11-06,353.45001,357.54001,353.35001,356.53,23828300
2023-11-03,349.63,354.39001,347.32999,352.79999,23624000
2023-11-02,347.23999,348.82999,344.76999,348.32001,24348100
2023-11-01,339.79001,347.42001,339.64999,346.07001,28158800
2023-10-31,338.85001,339.0,334.69,338.10999,20265300
2023-10-30,333.41,339.45001,330.51999,337.31,22828100
2023-10-27,330.42999,336.72,328.39999,329.81,29856500
2023-10-26,340.54001,341.63,326.94,327.89001,37828500
2023-10-25,345.01999,346.20001,337.62,340.67001,55053800
2023-10-24,331.29999,331.84,327.60001,330.53,31153600
2023-10-23,325.47,332.73001,324.39001,329.32001,24374700
2023-10-20,331.72,331.92001,325.45001,326.67001,25012600
2023-10-19,332.14999,336.88,330.91,331.32001,25052100
2023-10-18,332.48999,335.59,328.29999,330.10999,23153600
2023-10-17,329.59,333.45999,327.41,332.06,18338500
2023-10-16,331.04999,336.14001,330.60001,332.64001,22158000
2023-10-13,332.38,333.82999,326.35999,327.73001,21072400
2023-10-12,330.57001,333.63,328.72,331.16,19313100
2023-10-11,331.20999,332.82001,329.14001,332.42001,20063200
2023-10-10,330.95999,331.10001,327.67001,328.39001,20557100
2023-10-09,324.75,330.29999,323.17999,329.82001,19891200
2023-10-06,316.54999,329.19,316.29999,327.26001,25645500
2023-10-05,319.09,319.98001,314.89999,319.35999,16965600
2023-10-04,314.03,320.04001,314.0,318.95999,20720100
2023-10-03,320.82999,321.39001,311.20999,313.39001,21033500
2023-10-02,316.28,321.89001,315.17999,321.79999,20570000
2023-09-29,317.75,319.47,314.98001,315.75,24140300
2023-09-28,310.98999,315.48001,309.45001,313.64001,19683600
2023-09-27,312.29999,314.29999,309.69,312.79001,19410100
2023-09-26,315.13,315.88,310.01999,312.14001,26297600
2023-09-25,316.59,317.67001,315.0,317.54001,17836000
2023-09-22,321.32001,321.45001,316.14999,317.01001,21447900
2023-09-21,319.26001,325.35001,315.0,319.53,35529500
2023-09-20,329.51001,329.59,320.51001,320.76999,21436500
2023-09-19,326.17001,329.39001,324.51001,328.64999,16505900
2023-09-18,327.79999,330.39999,326.35999,329.06,16834200
2023-09-15,336.92001,337.39999,329.64999,330.22,37666900
2023-09-14,339.14999,340.85999,336.57001,338.70001,20267000
2023-09-13,331.31,336.85001,331.17001,336.06,16544400
2023-09-12,335.82001,336.79001,331.48001,331.76999,17565500
2023-09-11,337.23999,338.42001,335.42999,337.94,16583300
2023-09-08,330.09,336.16,329.45999,334.26999,19530100
2023-09-07,331.29001,333.07999,329.03,329.91,18381000
2023-09-06,333.38,334.45999,330.17999,332.88,17535800
2023-09-05,329.0,334.85001,328.66,333.54999,18553900
2023-09-01,331.31,331.98999,326.78,328.66,14931200
2023-08-31,329.20001,330.91,326.78,327.76001,26411000
2023-08-30,328.67001,329.81,326.45001,328.79001,15222100
2023-08-29,321.88,328.98001,321.88,328.41,19284600
2023-08-28,325.66,326.14999,321.72,323.70001,14808500
2023-08-25,321.47,325.35999,318.79999,322.98001,21684100
2023-08-24,332.85001,332.98001,319.95999,319.97,23281400
2023-08-23,323.82001,329.20001,323.45999,327.0,21166400
2023-08-22,325.5,326.07501,321.45999,322.45999,16050202
2023-08-21,317.92999,322.76999,317.04001,321.88,21785724
2023-08-18,314.48999,318.38,311.55081,316.48001,24755012
2023-08-17,320.54001,321.87,316.20999,316.88,20220030
2023-08-16,320.79999,324.42001,319.8035,320.39999,19551160
2023-08-15,323.0,325.09,320.90341,321.85999,16801108
2023-08-14,321.39001,324.06,320.07999,324.04001,18836140
2023-08-11,320.26001,322.41,319.20999,321.01001,24355492
2023-08-10,326.01501,328.26001,321.17999,322.92999,19997200
2023-08-09,326.47,327.10999,321.0499,322.23001,19117848
2023-08-08,326.95999,328.75,323.0,326.04999,22190554
2023-08-07,328.37,331.10999,327.51999,330.10999,17741526
2023-08-04,331.88,335.14001,327.23999,327.78,23741484
2023-08-03,326.0,329.88,325.95001,326.66,17961956
2023-08-02,333.63,333.63,326.3551,327.5,27428312
2023-08-01,335.19,338.54001,333.70001,336.34,18154508
2023-07-31,336.92001,337.69501,333.35999,335.92001,25335464
2023-07-28,333.67001,340.01001,333.17001,338.37,28484868
2023-07-27,340.48001,341.32999,329.04999,330.72,39635264
2023-07-26,341.44,344.67001,333.10999,337.76999,58383704
2023-07-25,347.10999,351.89001,345.07001,350.98001,41637740
2023-07-24,345.85001,346.92001,342.31,345.10999,25663882
2023-07-21,349.14999,350.29999,339.82999,343.76999,69405384
2023-07-20,353.57001,357.97,345.37,346.87,33778396
2023-07-19,361.75,362.45999,352.435,355.07999,39732900
2023-07-18,345.82999,366.78,342.17001,359.48999,64517704
2023-07-17,345.67801,346.98999,342.20001,345.73001,20033204
2023-07-14,347.59,351.42999,344.31,345.23999,28352728
2023-07-13,339.56,343.73999,339.01999,342.66,20567160
2023-07-12,336.60001,341.65201,335.67001,337.20001,29350934
2023-07-11,331.06,332.85999,327.0,332.47,26382270
2023-07-10,334.60001,335.23001,327.59,331.82999,32727866
2023-07-07,339.32001,341.79001,337.0,337.22,21214824
2023-07-06,337.29999,342.98999,335.5,341.26999,28015348
2023-07-05,335.09,341.64999,334.7276,338.14999,18066432
2023-07-03,339.48999,340.85001,336.60001,337.98999,12508692
2023-06-30,337.75,342.73001,337.20001,340.54001,26832756
2023-06-29,334.70999,336.10999,332.62,335.04999,16857100
2023-06-28,334.66,337.98001,333.81,335.85001,19518308
2023-06-27,331.85999,336.14999,329.29999,334.57001,23683060
2023-06-26,333.72,336.10999,328.48999,328.60001,21250844
2023-06-23,334.35999,337.95999,333.45001,335.01999,23146900
2023-06-22,334.12,340.12,333.34,339.70999,23030140
2023-06-21,336.37,337.73001,332.07001,333.56,24865896
2023-06-20,339.31,342.07999,335.85999,338.04999,26008528
2023-06-16,351.32001,351.47,341.95001,342.32999,46551984
2023-06-15,337.48001,349.84,337.20001,348.10001,38611912
2023-06-14,334.34,339.04001,332.81,337.34,25830460
2023-06-13,334.465,336.98001,330.39001,334.29001,22661332
2023-06-12,328.57999,332.09991,325.16,331.85001,24182584
2023-06-09,324.98999,329.98999,324.41,326.79001,22528950
2023-06-08,323.935,326.64001,323.35001,325.26001,23277708
2023-06-07,331.64999,334.48999,322.5,323.38,40717128
2023-06-06,335.32999,335.37,332.17001,333.67999,20208912
2023-06-05,335.22,338.55991,334.6601,335.94,21111556
2023-06-02,334.24701,337.5,332.54999,335.39999,25873768
2023-06-01,325.92999,333.53,324.72,332.57999,25802916
2023-05-31,332.29001,335.94,327.32999,328.39001,45547532
2023-05-30,335.23001,335.73999,330.51999,331.20999,29408940
2023-05-26,324.01999,333.39999,323.88,332.89001,36630632
2023-05-25,323.23999,326.89999,320.0,325.92001,41892344
2023-05-24,314.73001,316.5,312.60999,313.85001,22006472
2023-05-23,320.03,322.72,315.25,315.26001,29933704
2023-05-22,318.60001,322.59,318.01001,321.17999,23050032
2023-05-19,316.73999,318.75,316.37,318.34,25729700
2023-05-18,314.53,319.04001,313.72,318.51999,26365272
2023-05-17,312.29001,314.42999,310.73999,314.0,24315012
2023-05-16,309.82999,313.70999,309.82999,311.73999,26730348
2023-05-15,309.095,309.905,307.59,309.45999,16290010
2023-05-12,310.54999,310.64999,306.60001,308.97,19774696
2023-05-11,310.10001,311.12,306.2601,310.10999,31680180
2023-05-10,308.62,313.0,307.67001,312.31,30078044
2023-05-09,308.0,310.04001,306.31,307.0,21340828
2023-05-08,310.13,310.20001,306.09,308.64999,21318612
2023-05-05,305.72,311.97,304.26999,310.64999,28197052
2023-05-04,306.23999,307.7626,303.39999,305.41,22202648
2023-05-03,306.62,308.60999,304.09,304.39999,22157664
2023-05-02,307.76001,309.17999,303.91,305.41,26404432
2023-05-01,306.97,308.60001,305.14999,305.56,21253004
2023-04-28,304.01001,308.92999,303.31,307.26001,36469612
2023-04-27,295.97,305.20001,295.25,304.82999,46214100
2023-04-26,296.70001,299.57001,292.73001,295.37,64481896
2023-04-25,279.51001,281.60001,275.37,275.42001,40227924
2023-04-24,282.09,284.95001,278.72,281.76999,26506206
2023-04-21,285.01001,286.26999,283.06079,285.76001,21676388
2023-04-20,285.25,289.03,285.07999,286.10999,23244364
2023-04-19,285.98999,289.04999,284.54001,288.45001,17078552
2023-04-18,291.57001,291.755,287.01001,288.37,20102690
2023-04-17,289.92999,291.60001,286.16,288.79999,23836224
2023-04-14,287.0,288.48001,283.69,286.14001,20987916
2023-04-13,283.59,289.89999,283.17001,289.84,24122688
2023-04-12,284.79001,287.01001,281.95999,283.48999,27403432
2023-04-11,285.75,285.98001,281.64001,282.82999,27198600
2023-04-10,289.20801,289.60001,284.70999,289.39001,23029396
2023-04-06,283.20999,292.07999,282.03,291.60001,29770334
2023-04-05,285.85001,287.14999,282.92001,284.34,22001924
2023-04-04,287.23001,290.44989,285.67001,287.17999,25778844
2023-04-03,286.51999,288.26999,283.95001,287.23001,24841124
2023-03-31,283.73001,289.26999,283.0,288.29999,32702692
2023-03-30,284.23001,284.45999,281.48001,284.04999,24990128
2023-03-29,278.95999,281.1398,278.41,280.51001,25087032
2023-03-28,275.79001,276.14001,272.0451,275.23001,21838740
2023-03-27,280.5,281.45889,275.51999,276.38,26762684
2023-03-24,277.23999,280.63,275.28,280.57001,28199962
2023-03-23,277.94,281.06,275.20001,277.66,36383616
2023-03-22,273.39999,281.04001,272.17999,272.29001,34730596
